Bed_ID,Bed_Dimensions_m,Bed_Length_m,Bed_Width_m,Seedling_Count,Canal_Position,Canal_Length_m,Canal_Width_m
1,3.05m x 3.66m,3.66,3.05,285,Width-Aligned,3.66,0.24
2,1.83m x 1.98m,1.98,1.83,55,Width-Aligned,1.83,0.2
3,1.89m x 2.16m,2.16,1.89,156,Width-Aligned,1.89,0.23
4,3.29m x 2.07m,3.29,2.07,245,Length-Aligned,3.29,0.25
5,1.86m x 2.16m,2.16,1.86,194,Length-Aligned,2.16,0.23
6,2.53m x 2.35m,2.53,2.35,245,Length-Aligned,2.53,0.24
7,4.02m x 3.41m,4.02,3.41,460,Width-Aligned,3.41,0.26
8,2.8m x 2.93m,2.93,2.8,240,Width-Aligned,2.8,0.2
9,3.05m x 2.87m,3.05,2.87,212,Length-Aligned,3.05,0.27
10,2.78m x 3.78m,3.78,2.78,572,Length-Aligned,3.78,0.25
11,3.08m x 3.11m,3.11,3.08,145,Width-Aligned,3.08,0.19
12,1.25m x 1.52m,1.52,1.25,230,Length-Aligned,1.52,0.18
13,2.01m x 1.4m,2.01,1.4,236,Width-Aligned,1.4,0.29
14,2.32m x 1.71m,2.32,1.71,140,Width-Aligned,1.71,0.23
15,3.17m x 1.68m,3.17,1.68,196,Width-Aligned,1.68,0.25
16,0.98m x 1.92m,1.92,0.98,90,Width-Aligned,0.98,0.3
17,2.83m x 1.86m,2.83,1.86,178,Width-Aligned,1.86,0.28
18,1.46m x 2.16m,2.16,1.46,153,Length-Aligned,2.16,0.23
19,3.29m x 1.25m,3.29,1.25,385,Width-Aligned,1.25,0.24
20,2.5m x 1.86m,2.5,1.86,386,Length-Aligned,2.5,0.26
21,2.16m x 2.56m,2.56,2.16,374,Width-Aligned,2.16,0.27
22,2.68m x 2.44m,2.68,2.44,470,Width-Aligned,2.44,0.24
23,2.47m x 2.47m,2.47,2.47,420,Width-Aligned,2.47,0.22
24,3.23m x 3.08m,3.23,3.08,419,Length-Aligned,3.23,0.2
25,2.16m x 3.11m,3.11,2.16,203,Length-Aligned,3.11,0.21
26,2.74m x 3.38m,3.38,2.74,396,Length-Aligned,3.38,0.26
27,4.02m x 1.95m,4.02,1.95,426,Width-Aligned,1.95,0.29
28,2.77m x 4.15m,4.15,2.77,450,Length-Aligned,4.15,0.21
29,2.77m x 3.08m,3.08,2.77,573,Length-Aligned,3.08,0.24
30,1.63m x 2.9m,2.9,1.63,166,Length-Aligned,2.9,0.22
31,2.91m x 3.62m,3.62,2.91,690,Width-Aligned,2.91,0.2
32,2.44m x 2.38m,2.44,2.38,303,Width-Aligned,2.38,0.23
33,3.02m x 2.59m,3.02,2.59,354,Width-Aligned,2.59,0.24
34,3.66m x 1.5m,3.66,1.5,224,Width-Aligned,1.5,0.25
35,2.37m x 2.15m,2.37,2.15,77,Width-Aligned,2.15,0.19
36,2.37m x 2.63m,2.63,2.37,192,Length-Aligned,2.63,0.26
37,3.71m x 1.7m,3.71,1.7,233,Width-Aligned,1.7,0.25
38,3.11m x 2.82m,3.11,2.82,641,Width-Aligned,2.82,0.22
39,2.2m x 2.1m,2.2,2.1,260,Length-Aligned,2.2,0.22
40,2.94m x 2.33m,2.94,2.33,104,Length-Aligned,2.94,0.18
41,2.2m x 2.1m,2.2,2.1,258,Width-Aligned,2.1,0.17
42,2.2m x 3.9m,3.9,2.2,334,Length-Aligned,3.9,0.24
43,2.72m x 2.54m,2.72,2.54,220,Length-Aligned,2.72,0.23
44,1.14m x 1.77m,1.77,1.14,126,Width-Aligned,1.14,0.22
45,1.28m x 3.15m,3.15,1.28,291,Length-Aligned,3.15,0.21
46,2.13m x 1.65m,2.13,1.65,246,Length-Aligned,2.13,0.25
47,1.8m x 2.7m,2.7,1.8,136,Length-Aligned,2.7,0.22
48,2.78m x 1.11m,2.78,1.11,125,Length-Aligned,2.78,0.23
49,1.88m x 1.57m,1.88,1.57,164,Width-Aligned,1.57,0.2
50,1.51m x 2.69m,2.69,1.51,288,Width-Aligned,1.51,0.25
